pub_date,headline,abstract,keywords,lead_paragraph,date_parsed
2025-02-01 01:36:28+00:00,"{'main': 'More Than a Dozen Prosecutors at Washington U.S. Attorney’s Office Are Dismissed', 'kicker': None, 'content_kicker': None, 'print_headline': '', 'name': None, 'seo': None, 'sub': None}",Those informed of their dismissals had been hired to investigate the Jan. 6 riot as the office struggled to manage what became the largest prosecution in the department’s history.,"[{'name': 'subject', 'value': 'United States Politics and Government', 'rank': 1, 'major': 'N'}, {'name': 'subject', 'value': 'Federal Criminal Case Against Trump (Documents Case)', 'rank': 2, 'major': 'N'}, {'name': 'subject', 'value': 'Storming of the US Capitol (Jan, 2021)', 'rank': 3, 'major': 'N'}, {'name': 'subject', 'value': 'United States Attorneys', 'rank': 4, 'major': 'N'}, {'name': 'organizations', 'value': 'Justice Department', 'rank': 5, 'major': 'N'}, {'name': 'persons', 'value': 'Trump, Donald J', 'rank': 6, 'major': 'N'}, {'name': 'persons', 'value': 'Bove, Emil', 'rank': 7, 'major': 'N'}]","The Justice Department’s campaign of retribution against officials who investigated President Trump and his supporters accelerated late Friday with the firing of more than a dozen federal prosecutors at the U.S. attorney’s office in Washington, according to a department memo.",2025-02-01T01:36:28Z
2025-02-01 01:59:58+00:00,"{'main': 'Disabled Workers Express Fear and Dismay After Trump’s Claims About the F.A.A.', 'kicker': None, 'content_kicker': None, 'print_headline': '', 'name': None, 'seo': None, 'sub': None}",Critics said the president’s remarks after the crash caused damage to an already underrepresented segment of the work force.,[],"Miles O’Brien lost his left arm in 2014, losing with it his private pilot’s license. A journalist by trade, he had been flying for nearly thirty years, and it had become his personal passion.",2025-02-01T01:59:58Z
2025-02-01 02:11:32+00:00,"{'main': 'Boy, 8, Is Fatally Shot in Newark, Officials Say', 'kicker': None, 'content_kicker': None, 'print_headline': '', 'name': None, 'seo': None, 'sub': None}","A man wounded by gunfire was found several blocks from where the child was killed around the same time, but officials declined to say whether the shootings were related.","[{'name': 'subject', 'value': 'Murders, Attempted Murders and Homicides', 'rank': 1, 'major': 'N'}, {'name': 'organizations', 'value': 'Police Department (Newark, NJ)', 'rank': 2, 'major': 'N'}, {'name': 'glocations', 'value': 'Newark (NJ)', 'rank': 3, 'major': 'N'}]","An 8-year-old boy was fatally shot Friday evening in Newark about three blocks from where a 36-year-old man who had been wounded by gunfire was found, the authorities said.",2025-02-01T02:11:32Z
2025-02-01 02:11:46+00:00,"{'main': 'Venezuela Frees 6 Americans After Visit by Trump Envoy', 'kicker': None, 'content_kicker': None, 'print_headline': '', 'name': None, 'seo': None, 'sub': None}","Richard Grenell, the envoy for special missions, said he was flying home with the detainees after he met with President Nicolás Maduro.","[{'name': 'subject', 'value': 'International Relations', 'rank': 1, 'major': 'N'}, {'name': 'subject', 'value': 'United States International Relations', 'rank': 2, 'major': 'N'}, {'name': 'subject', 'value': 'United States Politics and Government', 'rank': 3, 'major': 'N'}, {'name': 'subject', 'value': 'Political Prisoners', 'rank': 4, 'major': 'N'}, {'name': 'persons', 'value': 'Grenell, Richard', 'rank': 5, 'major': 'N'}, {'name': 'persons', 'value': 'Maduro, Nicolas', 'rank': 6, 'major': 'N'}, {'name': 'persons', 'value': 'Trump, Donald J', 'rank': 7, 'major': 'N'}, {'name': 'glocations', 'value': 'Venezuela', 'rank': 8, 'major': 'N'}]","Richard Grenell, President Trump’s envoy for special missions, said on social media that he was flying home from Venezuela with six American detainees on Friday, after meeting with the country’s president.",2025-02-01T02:11:46Z
2025-02-01 03:00:06+00:00,"{'main': 'Pseudoscientific Bodily Emanations', 'kicker': 'Wordplay, The CROSSWORD COLUMN', 'content_kicker': None, 'print_headline': '', 'name': None, 'seo': None, 'sub': None}",Kate Chin Park and Rafael Musa’s puzzle rewards an eye for detail.,"[{'name': 'subject', 'value': 'Crossword Puzzles', 'rank': 1, 'major': 'N'}, {'name': 'persons', 'value': 'Truth, Sojourner', 'rank': 2, 'major': 'N'}]","SATURDAY PUZZLE — This grid is an appealing collaboration between a relative newbie, Kate Chin Park, and Rafael Musa, a veteran who has teamed up with many other constructors. There’s a bite to it, mainly from its literary and historical trivia, but the crosses are pretty generous — every time I thought I was stuck in a row, I kept up my momentum by coming up with some letters from Down columns, which were slightly less thorny.",2025-02-01T03:00:06Z
2025-02-01 04:40:04+00:00,"{'main': 'Trump Officials Release Water in California That Experts Say Will Serve Little Use', 'kicker': None, 'content_kicker': None, 'print_headline': '', 'name': None, 'seo': None, 'sub': None}","Local officials and experts said the water the U.S. Army Corps of Engineers began sending downstream on Friday could have been helpful to farmers later this year. President Trump, in an apparent reference to the move, called it a “victory.”","[{'name': 'glocations', 'value': 'California', 'rank': 1, 'major': 'N'}, {'name': 'glocations', 'value': 'Central Valley (Calif)', 'rank': 2, 'major': 'N'}, {'name': 'subject', 'value': 'Water', 'rank': 3, 'major': 'N'}, {'name': 'subject', 'value': 'Federal-State Relations (US)', 'rank': 4, 'major': 'N'}, {'name': 'subject', 'value': 'Southern California Wildfires (Jan 2025)', 'rank': 5, 'major': 'N'}, {'name': 'subject', 'value': 'Levees and Dams', 'rank': 6, 'major': 'N'}, {'name': 'subject', 'value': 'Executive Orders and Memorandums', 'rank': 7, 'major': 'N'}, {'name': 'persons', 'value': 'Trump, Donald J', 'rank': 8, 'major': 'N'}, {'name': 'organizations', 'value': 'Army Corps of Engineers', 'rank': 9, 'major': 'N'}]",Trump administration officials began releasing significant amounts of water from two dams in California’s Central Valley on Friday in a move that seemed intended to make a political point as President Trump continued to falsely blame the Los Angeles wildfires on water policies in the Democratic-run state.,2025-02-01T04:40:04Z
2025-02-01 04:55:00+00:00,"{'main': 'Quote of the Day: A Farm’s Offer — 40,000 Pounds of Free Salmon', 'kicker': None, 'content_kicker': None, 'print_headline': 'Quote of the Day', 'name': None, 'seo': None, 'sub': None}","Quotation of the Day for Saturday, February 1, 2025.",[],"“The fish, they often don’t want to be caught.”",2025-02-01T04:55:00Z
2025-02-01 05:00:00+00:00,"{'main': 'Why Is Violence Flaring Up in Mineral-Rich Congo?', 'kicker': None, 'content_kicker': None, 'print_headline': '', 'name': None, 'seo': None, 'sub': None}","Rebels backed by Rwanda are seizing huge tracts of the Democratic Republic of Congo. The rebels, known as M23, say they are protecting ethnic Tutsis, the minority group massacred in a 1994 genocide. But experts say the real reason is Congo’s rare minerals, which power our phones and devices. Ruth Maclean, New York Times West Africa bureau chief, explains how the rebels and their patrons in Rwanda are profiting from the conflict.","[{'name': 'subject', 'value': 'War Crimes, Genocide and Crimes Against Humanity', 'rank': 1, 'major': 'N'}, {'name': 'subject', 'value': 'Minorities', 'rank': 2, 'major': 'N'}, {'name': 'organizations', 'value': 'March 23 Movement', 'rank': 3, 'major': 'N'}, {'name': 'glocations', 'value': 'Congo, Democratic Republic of (Congo-Kinshasa)', 'rank': 4, 'major': 'N'}, {'name': 'glocations', 'value': 'AFRICA', 'rank': 5, 'major': 'N'}, {'name': 'glocations', 'value': 'Rwanda', 'rank': 6, 'major': 'N'}]","Rebels backed by Rwanda are seizing huge tracts of the Democratic Republic of Congo. The rebels, known as M23, say they are protecting ethnic Tutsis, the minority group massacred in a 1994 genocide. But experts say the real reason is Congo’s rare minerals, which power our phones and devices. Ruth Maclean, New York Times West Africa bureau chief, explains how the rebels and their patrons in Rwanda are profiting from the conflict.",2025-02-01T05:00:00Z
2025-02-01 05:01:05+00:00,"{'main': 'Want a Million Dollars? Get Busy Deciphering This Ancient Script.', 'kicker': None, 'content_kicker': None, 'print_headline': 'Want $1 Million? Decipher This Ancient Script.', 'name': None, 'seo': None, 'sub': None}",A prize offered by an Indian state leader is intended to shed light on a Bronze Age civilization — and settle a cultural battle.,"[{'name': 'subject', 'value': 'Hinduism', 'rank': 1, 'major': 'N'}, {'name': 'subject', 'value': 'Archaeology and Anthropology', 'rank': 2, 'major': 'N'}, {'name': 'subject', 'value': 'Language and Languages', 'rank': 3, 'major': 'N'}, {'name': 'glocations', 'value': 'India', 'rank': 4, 'major': 'N'}]",It is a riddle that has confounded scholars for over a century. And now it carries a handsome cash prize: $1 million for anyone who can decipher the script of the ancient Indus Valley civilization.,2025-02-01T05:01:05Z
2025-02-01 05:01:14+00:00,"{'main': 'Moo Deng, the Toddler Hippopotamus, Is Still a Star', 'kicker': 'Thailand Dispatch', 'content_kicker': None, 'print_headline': 'Forget Pokémon, Here’s the New Big Small Thing', 'name': None, 'seo': None, 'sub': None}","The pygmy hippopotamus, now 6 months old, is Thailand’s biggest celebrity, and the crowds keep flocking. What explains her charm?","[{'name': 'glocations', 'value': 'Thailand', 'rank': 1, 'major': 'N'}, {'name': 'subject', 'value': 'Hippopotamuses', 'rank': 2, 'major': 'N'}, {'name': 'subject', 'value': 'Zoos', 'rank': 3, 'major': 'N'}, {'name': 'subject', 'value': 'Endangered and Extinct Species', 'rank': 4, 'major': 'N'}, {'name': 'organizations', 'value': 'Khao Kheow Open Zoo', 'rank': 5, 'major': 'N'}]",Moo Deng doesn’t bounce like she did a couple months ago.,2025-02-01T05:01:14Z
2025-02-01 06:06:04+00:00,"{'main': 'Criss-Crossing Routes in D.C. Airspace Leave Little Room for Error', 'kicker': None, 'content_kicker': None, 'print_headline': '', 'name': None, 'seo': None, 'sub': None}",Planes assigned to land at Reagan’s Runway 33 must fly just above a route that is busy with helicopters.,"[{'name': 'subject', 'value': 'American Airlines Flight 5342', 'rank': 1, 'major': 'N'}, {'name': 'subject', 'value': 'Airports', 'rank': 2, 'major': 'N'}, {'name': 'organizations', 'value': 'Federal Aviation Administration', 'rank': 3, 'major': 'N'}]",Planes assigned to land at Reagan’s Runway 33 must fly just above a route that is busy with helicopters.,2025-02-01T06:06:04Z
2025-02-01 06:09:51+00:00,"{'main': 'The Los Angeles Wildfires Are Fully Contained', 'kicker': None, 'content_kicker': None, 'print_headline': '', 'name': None, 'seo': None, 'sub': None}","The Palisades and Eaton fires, two of the deadliest and most destructive wildfires in California history, reached 100 percent containment more than three weeks after they began.","[{'name': 'subject', 'value': 'Southern California Wildfires (Jan 2025)', 'rank': 1, 'major': 'N'}, {'name': 'glocations', 'value': 'Altadena (Calif)', 'rank': 2, 'major': 'N'}, {'name': 'glocations', 'value': 'Pacific Palisades (Calif)', 'rank': 3, 'major': 'N'}, {'name': 'subject', 'value': 'Deaths (Fatalities)', 'rank': 4, 'major': 'N'}]","More than three weeks after the devastating Eaton and Palisades fires broke out in Southern California, state officials on Friday evening said that firefighters had fully contained both fires, meaning that the perimeters of the fires were completely under control.",2025-02-01T06:09:51Z
2025-02-01 08:00:04+00:00,"{'main': 'Spelling Bee Forum', 'kicker': None, 'content_kicker': None, 'print_headline': '', 'name': None, 'seo': None, 'sub': None}",Feeling stuck on today’s puzzle? We can help.,"[{'name': 'creative_works', 'value': 'Spelling Bee (Game)', 'rank': 1, 'major': 'N'}]","Hi, busy bees! Welcome to today’s Spelling Bee forum. Enter the comments section to see hints, conversation, helpful tips and creative content from other solvers.",2025-02-01T08:00:04Z
2025-02-01 08:00:08+00:00,"{'main': 'How an Emergency Veterinarian Spends Her Sundays', 'kicker': None, 'content_kicker': None, 'print_headline': 'A Shepherd Tends to Her Urban Flock', 'name': None, 'seo': None, 'sub': None}","Dr. Carly Fox doesn’t need an alarm for a day of pancakes with her children, cats falling out of windows and red-light therapy.","[{'name': 'subject', 'value': 'Veterinary Medicine', 'rank': 1, 'major': 'N'}, {'name': 'subject', 'value': 'Doctors', 'rank': 2, 'major': 'N'}, {'name': 'subject', 'value': 'Content Type: Personal Profile', 'rank': 3, 'major': 'N'}, {'name': 'subject', 'value': 'Animal Abuse, Rights and Welfare', 'rank': 4, 'major': 'N'}, {'name': 'subject', 'value': 'Service Dogs and Other Animals', 'rank': 5, 'major': 'N'}, {'name': 'organizations', 'value': 'ANIMAL MEDICAL CENTER', 'rank': 6, 'major': 'N'}]","There was never any doubt that Dr. Carly Fox, an emergency room veterinarian at the Schwarzman Animal Medical Center in Manhattan, would devote her life to caring for animals.",2025-02-01T08:00:08Z
2025-02-01 08:00:12+00:00,"{'main': 'A Storied Newspaper Prepares to Print Its Own Obituary', 'kicker': None, 'content_kicker': None, 'print_headline': 'The End of a Storied Press Run for The Star-Ledger', 'name': None, 'seo': None, 'sub': None}","The Star-Ledger, New Jersey’s longtime paper of record, will publish its final edition on Sunday and become an online-only news outlet.","[{'name': 'subject', 'value': 'Newspapers', 'rank': 1, 'major': 'N'}, {'name': 'subject', 'value': 'Shutdowns (Institutional)', 'rank': 2, 'major': 'N'}, {'name': 'subject', 'value': 'News and News Media', 'rank': 3, 'major': 'N'}, {'name': 'organizations', 'value': 'Jersey Journal', 'rank': 4, 'major': 'N'}, {'name': 'organizations', 'value': 'Star-Ledger of Newark', 'rank': 5, 'major': 'N'}]","In its heyday, The Star-Ledger, New Jersey’s longtime paper of record, boasted the nation’s largest State House bureau, an enviable circulation and enough editorial clout to alter the trajectory of the region’s defining infrastructure projects and environmental preservation efforts.",2025-02-01T08:00:12Z
2025-02-01 08:00:18+00:00,"{'main': 'Black Voters Helped Elect Eric Adams Mayor. Now They May Back Cuomo.', 'kicker': None, 'content_kicker': None, 'print_headline': '', 'name': None, 'seo': None, 'sub': None}","Mr. Adams and former Gov. Andrew M. Cuomo have both been popular with Black voters, setting up a potential showdown that could decide the Democratic mayoral primary in New York City.","[{'name': 'persons', 'value': 'Adams, Eric L', 'rank': 1, 'major': 'N'}, {'name': 'persons', 'value': 'Cuomo, Andrew M', 'rank': 2, 'major': 'N'}, {'name': 'subject', 'value': 'Black People', 'rank': 3, 'major': 'N'}, {'name': 'subject', 'value': 'Blacks', 'rank': 4, 'major': 'N'}, {'name': 'subject', 'value': 'Eric Adams Federal Corruption Case (24 CR 556)', 'rank': 5, 'major': 'N'}, {'name': 'subject', 'value': 'Primaries and Caucuses', 'rank': 6, 'major': 'N'}, {'name': 'subject', 'value': 'Elections, Mayors', 'rank': 7, 'major': 'N'}, {'name': 'subject', 'value': 'Corruption (Institutional)', 'rank': 8, 'major': 'N'}, {'name': 'glocations', 'value': 'New York City', 'rank': 9, 'major': 'N'}, {'name': 'organizations', 'value': 'Democratic Party', 'rank': 10, 'major': 'N'}]","As he made his return this week from a brief public hiatus, Mayor Eric Adams used his first speech to convey a message: He is being treated unfairly because of his background. He has delivered on his campaign promises. And he is not resigning.",2025-02-01T08:00:18Z
2025-03-01 00:00:33+00:00,"{'main': 'A Day of American Infamy', 'kicker': 'Bret Stephens', 'content_kicker': None, 'print_headline': '', 'name': None, 'seo': None, 'sub': None}","A dreadful moment for Ukraine, for the free world, for the legacy of an America that once stood for the principles of the Atlantic Charter.","[{'name': 'subject', 'value': 'United States International Relations', 'rank': 1, 'major': 'N'}, {'name': 'subject', 'value': 'Russian Invasion of Ukraine (2022)', 'rank': 2, 'major': 'N'}, {'name': 'subject', 'value': 'International Relations', 'rank': 3, 'major': 'N'}, {'name': 'organizations', 'value': 'North Atlantic Treaty Organization', 'rank': 4, 'major': 'N'}, {'name': 'persons', 'value': 'Churchill, Winston Leonard Spencer', 'rank': 5, 'major': 'N'}, {'name': 'persons', 'value': 'Putin, Vladimir V', 'rank': 6, 'major': 'N'}, {'name': 'persons', 'value': 'Roosevelt, Franklin Delano', 'rank': 7, 'major': 'N'}, {'name': 'persons', 'value': 'Trump, Donald J', 'rank': 8, 'major': 'N'}, {'name': 'persons', 'value': 'Vance, J D', 'rank': 9, 'major': 'N'}, {'name': 'glocations', 'value': 'Ukraine', 'rank': 10, 'major': 'N'}, {'name': 'glocations', 'value': 'Russia', 'rank': 11, 'major': 'N'}]","In August 1941, about four months before the Japanese attack on Pearl Harbor, Franklin Roosevelt met with Winston Churchill aboard warships in Newfoundland’s Placentia Bay and agreed to the Atlantic Charter, a joint declaration by the world’s leading democratic powers on “common principles” for a postwar world.",2025-03-01T00:00:33Z
