pub_date,headline,abstract,keywords,lead_paragraph,date_parsed
2025-01-01 00:26:42+00:00,"{'main': 'Dartmouth College Basketball Players Halt Effort to Unionize', 'kicker': None, 'content_kicker': None, 'print_headline': '', 'name': None, 'seo': None, 'sub': None}",The decision to withdraw the petition appeared to be an effort to preserve a favorable federal ruling that could have been in jeopardy under President-elect Donald J. Trump.,"[{'name': 'subject', 'value': 'Basketball (College)', 'rank': 1, 'major': 'N'}, {'name': 'subject', 'value': 'College Athletics', 'rank': 2, 'major': 'N'}, {'name': 'subject', 'value': 'Organized Labor', 'rank': 3, 'major': 'N'}, {'name': 'subject', 'value': 'Student Athlete Compensation', 'rank': 4, 'major': 'N'}, {'name': 'organizations', 'value': 'Dartmouth College', 'rank': 5, 'major': 'N'}, {'name': 'organizations', 'value': 'National College Players Assn', 'rank': 6, 'major': 'N'}, {'name': 'organizations', 'value': 'National Labor Relations Board', 'rank': 7, 'major': 'N'}, {'name': 'organizations', 'value': 'Service Employees International Union', 'rank': 8, 'major': 'N'}]","The Dartmouth College basketball players who voted in March to unionize withdrew their petition on Tuesday, a move largely intended to preserve the favorable federal judgment that they had secured and that could have been in jeopardy once President-elect Donald J. Trump took office.",2025-01-01T00:26:42Z
2025-01-01 00:44:38+00:00,"{'main': '‘He Saved Our Lives.’ Former Hostages Recall Carter’s Quest to Free Them', 'kicker': None, 'content_kicker': None, 'print_headline': '', 'name': None, 'seo': None, 'sub': None}","The Iran hostage crisis became a symbol of a failed presidency, but for some of those who lived it, Jimmy Carter was the one who brought them home at the expense of his own political career.","[{'name': 'subject', 'value': 'United States International Relations', 'rank': 1, 'major': 'N'}, {'name': 'subject', 'value': 'Kidnapping and Hostages', 'rank': 2, 'major': 'N'}, {'name': 'glocations', 'value': 'Iran', 'rank': 3, 'major': 'N'}, {'name': 'persons', 'value': 'Carter, Jimmy', 'rank': 4, 'major': 'N'}, {'name': 'persons', 'value': 'Laingen, L Bruce', 'rank': 5, 'major': 'N'}]","As they sat locked in the same room day after day, week after week, month after month, listening to “death to America” chants and wondering when the bullet might come, the 52 American hostages being held in Iran had no idea what President Jimmy Carter was doing or if he even cared.",2025-01-01T00:44:38Z
2025-02-01 00:03:40+00:00,"{'main': 'Phyllis Dalton, Oscar-Winning Costume Designer for Historical Epics, Dies at 99', 'kicker': None, 'content_kicker': None, 'print_headline': '', 'name': None, 'seo': None, 'sub': None}","A look back at some of her most celebrated works, including “Doctor Zhivago,” “The Princess Bride” and “Lawrence of Arabia.”","[{'name': 'subject', 'value': 'Academy Awards (Oscars)', 'rank': 2, 'major': 'N'}, {'name': 'subject', 'value': 'Deaths (Obituaries)', 'rank': 3, 'major': 'N'}, {'name': 'subject', 'value': 'Costumes', 'rank': 4, 'major': 'N'}, {'name': 'subject', 'value': 'Movies', 'rank': 5, 'major': 'N'}, {'name': 'subject', 'value': 'Fashion and Apparel', 'rank': 6, 'major': 'N'}, {'name': 'glocations', 'value': 'England', 'rank': 7, 'major': 'N'}, {'name': 'creative_works', 'value': 'Doctor Zhivago (Movie)', 'rank': 8, 'major': 'N'}, {'name': 'creative_works', 'value': 'Henry V (Movie)', 'rank': 9, 'major': 'N'}, {'name': 'creative_works', 'value': 'Lawrence of Arabia (Movie)', 'rank': 10, 'major': 'N'}]","Phyllis Dalton, a British costume designer whose unflinching attention to detail earned her Oscars for “Doctor Zhivago” and “Henry V” and acclaim for her emotive, striking costumes in “Lawrence of Arabia,” died on Jan. 9 at her home in Somerset, England. She was 99.",2025-02-01T00:03:40Z
2025-02-01 00:20:17+00:00,"{'main': 'How Trump’s Tariffs Could Affect Americans', 'kicker': None, 'content_kicker': None, 'print_headline': '', 'name': None, 'seo': None, 'sub': None}","President Trump relies on tariffs to address trade, immigration and drug issues. Ana Swanson, who covers trade and international economics for The New York Times, explains their potential impact on everyday Americans.","[{'name': 'organizations', 'value': 'World Trade Organization', 'rank': 1, 'major': 'N'}, {'name': 'subject', 'value': 'North American Free Trade Agreement', 'rank': 2, 'major': 'N'}, {'name': 'subject', 'value': 'International Relations', 'rank': 3, 'major': 'N'}, {'name': 'subject', 'value': 'United States International Relations', 'rank': 4, 'major': 'N'}, {'name': 'subject', 'value': 'United States Economy', 'rank': 5, 'major': 'N'}]","President Trump relies on tariffs to address trade, immigration and drug issues. Ana Swanson, who covers trade and international economics for The New York Times, explains their potential impact on everyday Americans.",2025-02-01T00:20:17Z
2025-02-01 00:28:08+00:00,"{'main': 'Reagan Airport Had a Number of Close Calls in Recent Years', 'kicker': None, 'content_kicker': None, 'print_headline': '', 'name': None, 'seo': None, 'sub': None}",Internal government reports and public databases highlight several instances in which planes narrowly escaped collisions with each other or helicopters.,"[{'name': 'subject', 'value': 'AIRLINES AND AIRPLANES', 'rank': 1, 'major': 'N'}, {'name': 'subject', 'value': 'AIR TRAFFIC CONTROL', 'rank': 2, 'major': 'N'}, {'name': 'subject', 'value': 'Aviation Accidents, Safety and Disasters', 'rank': 3, 'major': 'N'}, {'name': 'subject', 'value': 'American Airlines Flight 5342', 'rank': 4, 'major': 'N'}, {'name': 'subject', 'value': 'Helicopters', 'rank': 5, 'major': 'N'}, {'name': 'subject', 'value': 'Pilots', 'rank': 6, 'major': 'N'}, {'name': 'subject', 'value': 'Airports', 'rank': 7, 'major': 'N'}, {'name': 'subject', 'value': 'Private Aircraft', 'rank': 8, 'major': 'N'}, {'name': 'organizations', 'value': 'Federal Aviation Administration', 'rank': 9, 'major': 'N'}, {'name': 'organizations', 'value': 'Reagan, Ronald, Washington National Airport', 'rank': 10, 'major': 'N'}, {'name': 'glocations', 'value': 'Potomac River', 'rank': 11, 'major': 'N'}, {'name': 'glocations', 'value': 'Washington (DC)', 'rank': 12, 'major': 'N'}]","Before the deadly plane crash on Wednesday night near Ronald Reagan National Airport, there were at least 10 close calls at the Washington airport in the last three years that were documented in government records reviewed by The New York Times.",2025-02-01T00:28:08Z
2025-02-01 00:35:55+00:00,"{'main': '6 Feared Dead After Medical Plane Crashes Near Philadelphia Shopping Center', 'kicker': None, 'content_kicker': None, 'print_headline': '', 'name': None, 'seo': None, 'sub': None}","The Learjet, carrying a pediatric patient and five others, crashed in Northeast Philadelphia. It was flying to Mexico with a stop planned in Missouri.","[{'name': 'subject', 'value': 'Aviation Accidents, Safety and Disasters', 'rank': 1, 'major': 'N'}, {'name': 'glocations', 'value': 'Philadelphia (Pa)', 'rank': 2, 'major': 'N'}, {'name': 'subject', 'value': 'AIRLINES AND AIRPLANES', 'rank': 3, 'major': 'N'}, {'name': 'subject', 'value': 'Shopping Centers and Malls', 'rank': 4, 'major': 'N'}, {'name': 'organizations', 'value': 'Federal Aviation Administration', 'rank': 5, 'major': 'N'}, {'name': 'subject', 'value': 'Deaths (Fatalities)', 'rank': 6, 'major': 'N'}, {'name': 'organizations', 'value': 'National Transportation Safety Board', 'rank': 7, 'major': 'N'}, {'name': 'glocations', 'value': 'Pennsylvania', 'rank': 8, 'major': 'N'}, {'name': 'glocations', 'value': 'Mexico', 'rank': 9, 'major': 'N'}, {'name': 'glocations', 'value': 'Tijuana (Mexico)', 'rank': 10, 'major': 'N'}]","A small medical plane carrying six people crashed near a shopping center in Northeast Philadelphia on Friday night, apparently leaving no survivors and sending a large fireball into the air that engulfed vehicles and homes in flames, the authorities said.",2025-02-01T00:35:55Z
2025-02-01 00:38:07+00:00,"{'main': 'Don’t Look Back', 'kicker': None, 'content_kicker': None, 'print_headline': '', 'name': None, 'seo': None, 'sub': None}",A political reckoning? Not at the Democratic National Committee.,"[{'name': 'subject', 'value': 'Politics and Government', 'rank': 1, 'major': 'N'}, {'name': 'subject', 'value': 'Elections', 'rank': 2, 'major': 'N'}, {'name': 'subject', 'value': 'Presidential Election of 2024', 'rank': 3, 'major': 'N'}, {'name': 'organizations', 'value': 'Democratic National Committee', 'rank': 4, 'major': 'N'}, {'name': 'organizations', 'value': 'Democratic Party', 'rank': 5, 'major': 'N'}, {'name': 'persons', 'value': 'Brazile, Donna', 'rank': 6, 'major': 'N'}, {'name': 'persons', 'value': 'Dean, Howard', 'rank': 7, 'major': 'N'}, {'name': 'persons', 'value': 'Martin, Ken (1973- )', 'rank': 8, 'major': 'N'}, {'name': 'persons', 'value': """"O'Malley, Martin J"""", 'rank': 9, 'major': 'N'}, {'name': 'persons', 'value': 'Perez, Thomas E', 'rank': 10, 'major': 'N'}, {'name': 'persons', 'value': 'Psaki, Jennifer R', 'rank': 11, 'major': 'N'}]",What is the opposite of an autopsy?,2025-02-01T00:38:07Z
2025-02-01 00:42:11+00:00,"{'main': 'How the D.C. Plane Crash Shattered Wichita’s Big Dreams of Skating and Flight', 'kicker': None, 'content_kicker': None, 'print_headline': '', 'name': None, 'seo': None, 'sub': None}","The city had tried for years to host the U.S. Figure Skating Championships, and to get a direct flight to the northeast.","[{'name': 'subject', 'value': 'AIRLINES AND AIRPLANES', 'rank': 1, 'major': 'N'}, {'name': 'subject', 'value': 'Figure Skating', 'rank': 2, 'major': 'N'}, {'name': 'subject', 'value': 'United States Figure Skating Championships', 'rank': 3, 'major': 'N'}, {'name': 'subject', 'value': 'Aviation Accidents, Safety and Disasters', 'rank': 4, 'major': 'N'}, {'name': 'organizations', 'value': 'United States Figure Skating Assn', 'rank': 5, 'major': 'N'}, {'name': 'glocations', 'value': 'Wichita (Kan)', 'rank': 6, 'major': 'N'}]","Wichita might be the country’s smallest big city. Or perhaps the country’s largest town. It is both big, with nearly 400,000 residents, and 550,000 in the larger metro area; and small, the type of place where you know your banker and bump into a friend while running errands.",2025-02-01T00:42:11Z
2025-02-01 01:05:28+00:00,"{'main': 'Trump Moves to Invalidate Recent Labor Agreements With Federal Workers', 'kicker': None, 'content_kicker': None, 'print_headline': '', 'name': None, 'seo': None, 'sub': None}","The order is aimed at “last-minute, lame-duck” agreements signed by the Biden administration, a White House memo says.","[{'name': 'subject', 'value': 'Presidential Power (US)', 'rank': 1, 'major': 'N'}, {'name': 'subject', 'value': 'Government Employees', 'rank': 2, 'major': 'N'}, {'name': 'subject', 'value': 'United States Politics and Government', 'rank': 3, 'major': 'N'}, {'name': 'subject', 'value': 'Labor and Jobs', 'rank': 4, 'major': 'N'}, {'name': 'subject', 'value': 'Collective Bargaining', 'rank': 5, 'major': 'N'}, {'name': 'subject', 'value': 'Organized Labor', 'rank': 6, 'major': 'N'}, {'name': 'persons', 'value': 'Trump, Donald J', 'rank': 7, 'major': 'N'}]","In the latest effort to put his stamp on the federal work force, President Trump on Friday issued a memorandum invalidating government labor contracts finalized in the last 30 days before a presidential inauguration.",2025-02-01T01:05:28Z
2025-02-01 01:21:28+00:00,"{'main': 'U.S. Military Planes Deliver Deportees to Honduras', 'kicker': None, 'content_kicker': None, 'print_headline': '', 'name': None, 'seo': None, 'sub': None}",President Xiomara Castro previously warned that she could oust the American military from Honduras if President Trump pursued aggressive deportations.,"[{'name': 'subject', 'value': 'Illegal Immigration', 'rank': 1, 'major': 'N'}, {'name': 'subject', 'value': 'Deportation', 'rank': 2, 'major': 'N'}, {'name': 'subject', 'value': 'United States Defense and Military Forces', 'rank': 3, 'major': 'N'}, {'name': 'subject', 'value': 'United States International Relations', 'rank': 4, 'major': 'N'}, {'name': 'subject', 'value': 'United States Politics and Government', 'rank': 5, 'major': 'N'}, {'name': 'organizations', 'value': 'Customs and Border Protection (US)', 'rank': 6, 'major': 'N'}, {'name': 'organizations', 'value': 'Defense Department', 'rank': 7, 'major': 'N'}, {'name': 'organizations', 'value': 'United States Air Force', 'rank': 8, 'major': 'N'}, {'name': 'persons', 'value': 'Castro, Xiomara', 'rank': 9, 'major': 'N'}, {'name': 'persons', 'value': 'Petro, Gustavo', 'rank': 10, 'major': 'N'}, {'name': 'persons', 'value': 'Trump, Donald J', 'rank': 11, 'major': 'N'}]","Honduras received deportees on U.S. military flights on Friday, part of President Trump’s push to show that his administration is cracking down on migration at the southern border.",2025-02-01T01:21:28Z
